타임스탬프,성별,나이,선호 장소,주간 운동량,운동 가용 금액,운동 시간,선호 종목(복수선택 가능)
2024. 5. 2 오후 12:06:02,남자,10대,실외,1일 미만,300000원 미만,상관없음,"아이스링크, 스쿠버다이빙,프리다이빙,스노클링, 패러글라이딩, 실내서바이벌, 바둑,체스,홀덤, 볼더링(클라이밍), 크로스핏, 스쿼시, 서핑, 카누,카약"
2024. 5. 2 오전 11:41:45,남자,20대,실외,주 1-2일,100000원 미만,주말,"승마, 실내서바이벌, 산악자전거, 아이스링크"
2024. 5. 2 오전 11:43:21,남자,20대,실내,주 1-2일,100000원 미만,상관없음,"양궁,사격, 바둑,체스,홀덤, 실내서바이벌"
2024. 5. 2 오전 11:44:27,남자,20대,실내,주 1-2일,300000원 미만,상관없음,"패러글라이딩, 아이스링크, 실내서바이벌, 바둑,체스,홀덤, 양궁,사격, 비치발리볼"
2024. 5. 2 오전 11:46:26,남자,20대,실외,주 5일 이상,300000원 미만,주말,"트릭킹,폴댄스, 볼더링(클라이밍), 승마, 산악자전거, 스케이트보드, 패러글라이딩, 양궁,사격, 서핑, 실내서바이벌, 스쿠버다이빙,프리다이빙,스노클링, 카누,카약"
2024. 5. 2 오전 11:47:32,남자,20대,실내,주 5일 이상,무료,상관없음,비치발리볼
2024. 5. 2 오전 11:51:03,남자,20대,실내,주 1-2일,100000원 미만,상관없음,"플라잉요가, 승마, 아이스링크"
2024. 5. 2 오전 11:53:33,남자,20대,실내,1일 미만,50000원 미만,상관없음,"바둑,체스,홀덤"
2024. 5. 2 오전 11:55:09,남자,20대,실내,주 5일 이상,100000원 미만,평일,"양궁,사격, 바둑,체스,홀덤"
2024. 5. 2 오후 12:07:19,남자,20대,상관없음,주 3-4일,300000원 미만,상관없음,"볼더링(클라이밍), 바둑,체스,홀덤, 실내서바이벌"
2024. 5. 2 오후 12:09:00,남자,20대,실내,주 1-2일,100000원 미만,상관없음,크로스핏
2024. 5. 2 오후 12:12:18,남자,20대,실내,1일 미만,무료,상관없음,"서핑, 스쿼시"
2024. 5. 2 오후 12:20:10,남자,20대,상관없음,주 1-2일,50000원 미만,주말,"서핑, 크로스핏"
2024. 5. 2 오후 12:45:17,남자,20대,실외,주 1-2일,50000원 미만,주말,"아이스링크, 볼더링(클라이밍), 실내서바이벌"
2024. 5. 2 오후 12:45:57,남자,20대,실내,1일 미만,300000원 미만,주말,"실내서바이벌, 아이스링크"
2024. 5. 2 오전 11:50:13,남자,30대,실내,주 1-2일,300000원 미만,주말,"실내서바이벌, 아이스링크, 스쿼시, 스케이트보드, 바둑,체스,홀덤, 양궁,사격"
2024. 5. 2 오전 11:58:01,남자,30대,실내,주 3-4일,무료,상관없음,"카누,카약, 실내서바이벌, 서핑, 플라잉요가, 스쿠버다이빙,프리다이빙,스노클링, 아이스링크, 스쿼시, 양궁,사격, 바둑,체스,홀덤, 승마"
2024. 5. 2 오후 12:10:11,남자,30대,실외,1일 미만,무료,주말,"실내서바이벌, 양궁,사격"
